right,rx1,rx1_,rx2,rx2_,rx6,rx6_,left,rx3,rx3_,rx4,rx4_,rx5,rx5_,reserve,rx7,rx7_,,
,,,,,,,,676,1654,,,,,,,,,
,,,,,,,,677,1655,,,,,,,,,
,,,,,,,,678,1656,,,,,,,,,
,,,,,,,,679,1657,,,,,,,,,
,,,,,,,,67A,1658,,,,,,,,,
,,,,,,,,67B,1659,,,,,,,,,
,,,,,,,,67C,1660,,,,,,,,,
,,,,,,,,67D,1661,,,,,,,,,
,,,,,,,,67E,1662,,,,,,,,,
,,,,,,,,67F,1663,,,,,,,,,
,,,,,,,,680,1664,,,,,,,,,
,,,,,,,,681,1665,,,,,,,,,
,,,,,,,,682,1666,,,,,,,,,
,,,,,,,,683,1667,,,,,,,,,
,,,,,,,,684,1668,,,,,,,,,
,,,,,,,,685,1669,,,,,,,,,
,,,,,,,,686,1670,,,,,,,,,
,,,,,,,,687,1671,,,,,,,,,
,,,,,,,,688,1672,,,,,,,,,
,,,,,,,,689,1673,,,,,,,,,
,,,,,,,,68A,1674,,,,,,,,,
,,,,,,,,68B,1675,,,,,,,,,
,,,,,,,,68C,1676,,,,,,,,,
,,,,,,,,68D,1677,,,,,,,,,
,,,,,,,,68E,1678,,,,,,,,,
,,,,,,,,68F,1679,,,,,,,,,
,,,,,,,,690,1680,,,,,,,,,
,,,,,,,,691,1681,,,,,,,,,
,,,,,,,,692,1682,,,,,,,,,
,,,,,,,,693,1683,,,,,,,,,
,,,,,,,,694,1684,,,,,,,,,
,,,,,,,,695,1685,,,,,,,,,
,,,,,,,,696,1686,,,,,,,,,
,,,,,,,,697,1687,,,,,,,,,
,,,,,,,,698,1688,,,,,,,,,
,,,,,,,,699,1689,,,,,,,,,
,,,,,,,,69A,1690,,,,,,,,,
,,,,,,,,69B,1691,,,,,,,,,
,,,,,,,,69C,1692,,,,,,,,,
,,,,,,,,69D,1693,,,,,,,,,
,,,,,,,,69E,1694,,,,,,,,,
,,,,,,,,69F,1695,,,,,,,,,
,,,,,,,,6A0,1696,,,,,,,,,
,,,,,,,,6A1,1697,,,,,,,,,
,,,,,,,,6A2,1698,,,,,,,,,
,,,,,,,,6A3,1699,,,,,,,,,
,,,,,,,,6A4,1700,,,,,,,,,
,,,,,,,,6A5,1701,,,,,,,,,
,,,,,,,,6A6,1702,,,,,,,,,
,,,,,,,,6A7,1703,,,,,,,,,
,,,,,,,,6A8,1704,,,,,,,,,
,,,,,,,,6A9,1705,,,,,,,,,
,,,,,,,,6AA,1706,,,,,,,,,
,,,,,,,,6AB,1707,,,,,,,,,
,,,,,,,,6AC,1708,,,,,,,,,
,,,,,,,,6AD,1709,,,,,,,,,
,,,,,,,,6AE,1710,,,,,,,,,
,,,,,,,,6AF,1711,,,,,,,,,
,,,,,,,,6B0,1712,,,,,,,,,
,,,,,,,,6B1,1713,,,,,,,,,
,,,,,,,,6B2,1714,,,,,,,,,
,,,,,,,,6B3,1715,,,,,,,,,
,,,,,,,,6B4,1716,,,,,,,,,
,,,,,,,,6B5,1717,,,,,,,,,
,,,,,,,,6B6,1718,,,,,,,,,
,,,,,,,,6B7,1719,,,,,,,,,
,,,,,,,,6B8,1720,,,,,,,,,
,,,,,,,,6B9,1721,,,,,,,,,
,,,,,,,,6BA,1722,,,,,,,,,
,,,,,,,,6BB,1723,,,,,,,,,
,,,,,,,,6BC,1724,,,,,,,,,
,,,,,,,,6BD,1725,,,,,,,,,
,,,,,,,,6BE,1726,,,,,,,,,
,,,,,,,,6BF,1727,,,,,,,,,
,,,,,,,,6C0,1728,,,,,,,,,
,,,,,,,,6C1,1729,,,,,,,,,
,,,,,,,,6C2,1730,,,,,,,,,
,,,,,,,,6C3,1731,,,,,,,,,
,,,,,,,,6C4,1732,,,,,,,,,
,,,,,,,,6C5,1733,,,,,,,,,
,,,,,,,,6C6,1734,,,,,,,,,
,,,,,,,,6C7,1735,,,,,,,,,
,,,,,,,,6C8,1736,,,,,,,,,
,,,,,,,,6C9,1737,,,,,,,,,
,,,,,,,,6CA,1738,,,,,,,,,
,,,,,,,,6CB,1739,,,,,,,,,
,,,,,,,,6CC,1740,,,,,,,,,
,,,,,,,,6CD,1741,,,,,,,,,
,,,,,,,,6CE,1742,,,,,,,,,
,,,,,,,,6CF,1743,,,,,,,,,
,,,,,,,,6D0,1744,,,,,,,,,
,,,,,,,,6D1,1745,,,,,,,,,
,,,,,,,,6D2,1746,,,,,,,,,
,,,,,,,,6D3,1747,,,,,,,,,
,,,,,,,,6D4,1748,,,,,,,,,
,,,,,,,,6D5,1749,,,,,,,,,
,,,,,,,,6D6,1750,,,,,,,,,
,,,,,,,,6D7,1751,,,,,,,,,
,,,,,,,,6D8,1752,,,,,,,,,
,,,,,,,,6D9,1753,,,,,,,,,
,,,,,,,,6DA,1754,,,,,,,,,
,,,,,,,,6DB,1755,,,,,,,,,
,,,,,,,,6DC,1756,,,,,,,,,
,,,,,,,,6DD,1757,,,,,,,,,
,,,,,,,,6DE,1758,,,,,,,,,
,,,,,,,,6DF,1759,,,,,,,,,
,,,,,,,,6.00E+00,1760,,,,,,,,,
,,,,,,,,6.00E+01,1761,,,,,,,,,
,,,,,,,,6.00E+02,1762,,,,,,,,,
,,,,,,,,6.00E+03,1763,,,,,,,,,
,,,,,,,,6.00E+04,1764,,,,,,,,,
,,,,,,,,6.00E+05,1765,,,,,,,,,
,,,,,,,,6.00E+06,1766,,,,,,,,,
,,,,,,,,6.00E+07,1767,,,,,,,,,
,,,,,,,,6.00E+08,1768,,,,,,,,,
,,,,,,,,6.00E+09,1769,,,,,,,,,
,,,,,,,,6EA,1770,,,,,,,,,
,,,,,,,,6EB,1771,,,,,,,,,
,,,,,,,,6EC,1772,,,,,,,,,
,,,,,,,,6ED,1773,,,,,,,,,
,,,,,,,,6EE,1774,,,,,,,,,
,,,,,,,,6EF,1775,,,,,,,,,
,,,,,,,,6F0,1776,,,,,,,,,
,,,,,,,,6F1,1777,,,,,,,,,
,,,,,,,,6F2,1778,,,,,,,,,
,,,,,,,,6F3,1779,,,,,,,,,
,,,,,,,,6F4,1780,,,,,,,,,
,,,,,,,,6F5,1781,,,,,,,,,
,,,,,,,,6F6,1782,,,,,,,,,
,,,,,,,,6F7,1783,,,,,,,,,
,,,,,,,,6F8,1784,,,,,,,,,
,,,,,,,,6F9,1785,,,,,,,,,
,,,,,,,,6FA,1786,,,,,,,,,
,,,,,,,,6FB,1787,,,,,,,,,
,,,,,,,,6FC,1788,,,,,,,,,
,,,,,,,,6FD,1789,,,,,,,,,
,,,,,,,,6FE,1790,,,,,,,,,
,,,,,,,,6FF,1791,,,,,,,,,
,,,,,,,,700,1792,,,,,,,,,
,,,,,,,,701,1793,,,,,,,,,
,,,,,,,,702,1794,,,,,,,,,
,,,,,,,,703,1795,,,,,,,,,
,,,,,,,,704,1796,,,,,,,,,
,,,,,,,,705,1797,,,,,,,,,
,,,,,,,,706,1798,,,,,,,,,
,,,,,,,,707,1799,,,,,,,,,
,,,,,,,,708,1800,,,,,,,,,
,,,,,,,,709,1801,,,,,,,,,
,,,,,,,,70A,1802,,,,,,,,,
,,,,,,,,70B,1803,,,,,,,,,
,,,,,,,,70C,1804,,,,,,,,,
,,,,,,,,70D,1805,,,,,,,,,
,,,,,,,,70E,1806,,,,,,,,,
,,,,,,,,70F,1807,,,,,,,,,
,,,,,,,,710,1808,,,,,,,,,
,,,,,,,,711,1809,,,,,,,,,
,,,,,,,,712,1810,,,,,,,,,
,,,,,,,,713,1811,,,,,,,,,
,,,,,,,,714,1812,,,,,,,,,
,,,,,,,,715,1813,,,,,,,,,
,,,,,,,,716,1814,,,,,,,,,
,,,,,,,,717,1815,,,,,,,,,
,,,,,,,,718,1816,,,,,,,,,
,,,,,,,,719,1817,,,,,,,,,
,,,,,,,,71A,1818,,,,,,,,,
,,,,,,,,71B,1819,,,,,,,,,
,,,,,,,,71C,1820,,,,,,,,,
,,,,,,,,71D,1821,,,,,,,,,
,,,,,,,,71E,1822,,,,,,,,,
,,,,,,,,71F,1823,,,,,,,,,
,,,,,,,,720,1824,,,,,,,,,
,,,,,,,,721,1825,,,,,,,,,
,,,,,,,,722,1826,,,,,,,,,
,,,,,,,,723,1827,,,,,,,,,
,,,,,,,,724,1828,,,,,,,,,
,,,,,,,,725,1829,,,,,,,,,
,,,,,,,,726,1830,,,,,,,,,
,,,,,,,,727,1831,,,,,,,,,
,,,,,,,,728,1832,,,,,,,,,
,,,,,,,,729,1833,,,,,,,,,
,,,,,,,,72A,1834,,,,,,,,,
,,,,,,,,72B,1835,,,,,,,,,
,,,,,,,,72C,1836,,,,,,,,,
,,,,,,,,72D,1837,,,,,,,,,
,,,,,,,,72E,1838,,,,,,,,,
,,,,,,,,72F,1839,,,,,,,,,
,,,,,,,,730,1840,,,,,,,,,
,,,,,,,,731,1841,,,,,,,,,
,,,,,,,,732,1842,,,,,,,,,
,,,,,,,,733,1843,,,,,,,,,
,,,,,,,,734,1844,,,,,,,,,
,,,,,,,,735,1845,,,,,,,,,
,,,,,,,,736,1846,,,,,,,,,
,,,,,,,,737,1847,,,,,,,,,
,,,,,,,,738,1848,,,,,,,,,
,,,,,,,,739,1849,,,,,,,,,
,,,,,,,,73A,1850,,,,,,,,,
,,,,,,,,73B,1851,,,,,,,,,
,,,,,,,,73C,1852,,,,,,,,,
,,,,,,,,73D,1853,,,,,,,,,
,,,,,,,,73E,1854,,,,,,,,,
,,,,,,,,73F,1855,,,,,,,,,
,,,,,,,,740,1856,,,,,,,,,
,,,,,,,,741,1857,,,,,,,,,
,,,,,,,,742,1858,,,,,,,,,
,,,,,,,,743,1859,,,,,,,,,
,,,,,,,,744,1860,,,,,,,,,
,,,,,,,,745,1861,,,,,,,,,
,,,,,,,,746,1862,,,,,,,,,
,,,,,,,,747,1863,,,,,,,,,
,,,,,,,,748,1864,,,,,,,,,
,,,,,,,,749,1865,,,,,,,,,
,,,,,,,,74A,1866,,,,,,,,,
,,,,,,,,74B,1867,,,,,,,,,
,,,,,,,,74C,1868,,,,,,,,,
,,,,,,,,74D,1869,,,,,,,,,
,,,,,,,,74E,1870,,,,,,,,,
,,,,,,,,74F,1871,,,,,,,,,
,,,,,,,,750,1872,,,,,,,,,
,,,,,,,,751,1873,,,,,,,,,
,,,,,,,,752,1874,,,,,,,,,
,,,,,,,,753,1875,,,,,,,,,
,,,,,,,,754,1876,,,,,,,,,
,,,,,,,,755,1877,,,,,,,,,
,,,,,,,,756,1878,,,,,,,,,
,,,,,,,,757,1879,,,,,,,,,
,,,,,,,,758,1880,,,,,,,,,
,,,,,,,,759,1881,,,,,,,,,
,,,,,,,,75A,1882,,,,,,,,,
,,,,,,,,75B,1883,,,,,,,,,
,,,,,,,,75C,1884,,,,,,,,,
,,,,,,,,75D,1885,,,,,,,,,
,,,,,,,,75E,1886,,,,,,,,,
,,,,,,,,75F,1887,,,,,,,,,
,,,,,,,,760,1888,,,,,,,,,
,,,,,,,,761,1889,,,,,,,,,
,,,,,,,,762,1890,,,,,,,,,
,,,,,,,,763,1891,,,,,,,,,
,,,,,,,,764,1892,,,,,,,,,
,,,,,,,,765,1893,,,,,,,,,
,,,,,,,,766,1894,,,,,,,,,
,,,,,,,,767,1895,,,,,,,,,
,,,,,,,,768,1896,,,,,,,,,
,,,,,,,,769,1897,,,,,,,,,
,,,,,,,,76A,1898,,,,,,,,,
,,,,,,,,76B,1899,,,,,,,,,
,,,,,,,,76C,1900,,,,,,,,,
,,,,,,,,76D,1901,,,,,,,,,
,,,,,,,,76E,1902,,,,,,,,,
,,,,,,,,76F,1903,,,,,,,,,
,,,,,,,,770,1904,,,,,,,,,
,,,,,,,,771,1905,,,,,,,,,
,,,,,,,,772,1906,,,,,,,,,
,,,,,,,,773,1907,,,,,,,,,
,,,,,,,,774,1908,,,,,,,,,
,,,,,,,,775,1909,,,,,,,,,
,,,,,,,,776,1910,,,,,,,,,
,,,,,,,,777,1911,,,,,,,,,
,,,,,,,,778,1912,,,,,,,,,
,,,,,,,,779,1913,,,,,,,,,
,,,,,,,,77A,1914,,,,,,,,,
,,,,,,,,77B,1915,,,,,,,,,
,,,,,,,,77C,1916,,,,,,,,,
,,,,,,,,77D,1917,,,,,,,,,
,,,,,,,,77E,1918,,,,,,,,,
,,,,,,,,77F,1919,,,,,,,,,
,,,,,,,,780,1920,,,,,,,,,
,,,,,,,,781,1921,,,,,,,,,
,,,,,,,,782,1922,,,,,,,,,
,,,,,,,,783,1923,,,,,,,,,
,,,,,,,,784,1924,,,,,,,,,
,,,,,,,,785,1925,,,,,,,,,
,,,,,,,,786,1926,,,,,,,,,
,,,,,,,,787,1927,,,,,,,,,
,,,,,,,,788,1928,,,,,,,,,
,,,,,,,,789,1929,,,,,,,,,
,,,,,,,,78A,1930,,,,,,,,,
,,,,,,,,78B,1931,,,,,,,,,
,,,,,,,,78C,1932,,,,,,,,,
,,,,,,,,78D,1933,,,,,,,,,
,,,,,,,,78E,1934,,,,,,,,,
,,,,,,,,78F,1935,,,,,,,,,
,,,,,,,,790,1936,,,,,,,,,
,,,,,,,,791,1937,,,,,,,,,
,,,,,,,,792,1938,,,,,,,,,
,,,,,,,,793,1939,,,,,,,,,
,,,,,,,,794,1940,,,,,,,,,
,,,,,,,,795,1941,,,,,,,,,
,,,,,,,,796,1942,,,,,,,,,
,,,,,,,,797,1943,,,,,,,,,
,,,,,,,,798,1944,,,,,,,,,
,,,,,,,,799,1945,,,,,,,,,
,,,,,,,,79A,1946,,,,,,,,,
,,,,,,,,79B,1947,,,,,,,,,
,,,,,,,,79C,1948,,,,,,,,,
,,,,,,,,79D,1949,,,,,,,,,
,,,,,,,,79E,1950,,,,,,,,,
,,,,,,,,79F,1951,,,,,,,,,
,,,,,,,,7A0,1952,,,,,,,,,
,,,,,,,,7A1,1953,,,,,,,,,
,,,,,,,,7A2,1954,,,,,,,,,
,,,,,,,,7A3,1955,,,,,,,,,
,,,,,,,,7A4,1956,,,,,,,,,
,,,,,,,,7A5,1957,,,,,,,,,
,,,,,,,,7A6,1958,,,,,,,,,
,,,,,,,,7A7,1959,,,,,,,,,
,,,,,,,,7A8,1960,,,,,,,,,
,,,,,,,,7A9,1961,,,,,,,,,
,,,,,,,,7AA,1962,,,,,,,,,
,,,,,,,,7AB,1963,,,,,,,,,
,,,,,,,,7AC,1964,,,,,,,,,
,,,,,,,,7AD,1965,,,,,,,,,
,,,,,,,,7AE,1966,,,,,,,,,
,,,,,,,,7AF,1967,,,,,,,,,
,,,,,,,,7B0,1968,,,,,,,,,
,,,,,,,,7B1,1969,,,,,,,,,
,,,,,,,,7B2,1970,,,,,,,,,
,,,,,,,,7B3,1971,,,,,,,,,
,,,,,,,,7B4,1972,,,,,,,,,
,,,,,,,,7B5,1973,,,,,,,,,
,,,,,,,,7B6,1974,,,,,,,,,
,,,,,,,,7B7,1975,,,,,,,,,
,,,,,,,,7B8,1976,,,,,,,,,
,,,,,,,,7B9,1977,,,,,,,,,
,,,,,,,,7BA,1978,,,,,,,,,
,,,,,,,,7BB,1979,,,,,,,,,
,,,,,,,,7BC,1980,,,,,,,,,
,,,,,,,,7BD,1981,,,,,,,,,
,,,,,,,,7BE,1982,,,,,,,,,
,,,,,,,,7BF,1983,,,,,,,,,
,,,,,,,,7C0,1984,,,,,,,,,
,,,,,,,,7C1,1985,,,,,,,,,
,,,,,,,,7C2,1986,,,,,,,,,
,,,,,,,,7C3,1987,,,,,,,,,
,,,,,,,,7C4,1988,,,,,,,,,
,,,,,,,,7C5,1989,,,,,,,,,
,,,,,,,,7C6,1990,,,,,,,,,
,,,,,,,,7C7,1991,,,,,,,,,
,,,,,,,,7C8,1992,,,,,,,,,
,,,,,,,,7C9,1993,,,,,,,,,
,,,,,,,,7CA,1994,,,,,,,,,
,,,,,,,,7CB,1995,,,,,,,,,
,,,,,,,,7CC,1996,,,,,,,,,
,,,,,,,,7CD,1997,,,,,,,,,
,,,,,,,,7CE,1998,,,,,,,,,
,,,,,,,,7CF,1999,,,,,,,,,
,,,,,,,,7D0,2000,,,,,,,,,
,,,,,,,,7D1,2001,,,,,,,,,
,,,,,,,,7D2,2002,,,,,,,,,
,,,,,,,,7D3,2003,,,,,,,,,
,,,,,,,,7D4,2004,,,,,,,,,
,,,,,,,,7D5,2005,,,,,,,,,
,,,,,,,,7D6,2006,,,,,,,,,
,,,,,,,,7D7,2007,,,,,,,,,
,,,,,,,,7D8,2008,,,,,,,,,
,,,,,,,,7D9,2009,,,,,,,,,
,,,,,,,,7DA,2010,,,,,,,,,
,,,,,,,,7DB,2011,,,,,,,,,
,,,,,,,,7DC,2012,,,,,,,,,
,,,,,,,,7DD,2013,,,,,,,,,
,,,,,,,,7DE,2014,,,,,,,,,
,,,,,,,,7DF,2015,,,,,,,,,
,,,,,,,,7.00E+00,2016,,,,,,,,,
,,,,,,,,7.00E+01,2017,,,,,,,,,
,,,,,,,,7.00E+02,2018,,,,,,,,,
,,,,,,,,7.00E+03,2019,,,,,,,,,
,,,,,,,,7.00E+04,2020,,,,,,,,,
,,,,,,,,7.00E+05,2021,,,,,,,,,
,,,,,,,,7.00E+06,2022,,,,,,,,,
,,,,,,,,7.00E+07,2023,,,,,,,,,
,,,,,,,,7.00E+08,2024,,,,,,,,,
,,,,,,,,7.00E+09,2025,,,,,,,,,
,,,,,,,,7EA,2026,,,,,,,,,
,,,,,,,,7EB,2027,,,,,,,,,
,,,,,,,,7EC,2028,,,,,,,,,
,,,,,,,,7ED,2029,,,,,,,,,
,,,,,,,,7EE,2030,,,,,,,,,
,,,,,,,,7EF,2031,,,,,,,,,
,,,,,,,,7F0,2032,,,,,,,,,
,,,,,,,,7F1,2033,,,,,,,,,
,,,,,,,,7F2,2034,,,,,,,,,
,,,,,,,,7F3,2035,,,,,,,,,
,,,,,,,,7F4,2036,,,,,,,,,
,,,,,,,,7F5,2037,,,,,,,,,
,,,,,,,,7F6,2038,,,,,,,,,
,,,,,,,,7F7,2039,,,,,,,,,
,,,,,,,,7F8,2040,,,,,,,,,
,,,,,,,,7F9,2041,,,,,,,,,
,,,,,,,,7FA,2042,,,,,,,,,
,,,,,,,,7FB,2043,,,,,,,,,
,,,,,,,,7FC,2044,,,,,,,,,
,,,,,,,,7FD,2045,,,,,,,,,
,,,,,,,,7FE,2046,,,,,,,,,
,,,,,,,,7FF,2047,,,,,,,,,
